Id,Time[ns],0:UART: RX/TX
1035,3894705300.00,[87]
1036,3894716500.00,[E5]
1037,3894731200.00,[8D]
1038,3894742400.00,[A7]
1039,3894757900.00,[EA]
1040,3894772300.00,[1B]
1041,3894783400.00,7
1042,3894794500.00,[87]
1043,3894805600.00,-
1044,3894816800.00,7
1045,3894827900.00,[87]
1046,3894839100.00,[1D]
1047,3894850200.00,'
1048,3894861300.00,[17]
1049,3894872400.00,5
1050,3894883600.00,[1B]
1051,3894894700.00,#
1052,3894905800.00,[0D]
1053,3894917000.00,[17]
1054,3894928100.00,-
1055,3894939200.00,[13]
1056,3894950400.00,5
1057,3894961500.00,[8B]
1058,3894972600.00,[87]
1059,3894983700.00,[07]
1060,3894994800.00,[99]
1061,3895006000.00,[E5]
1062,3895020700.00,[9D]
1063,3895034000.00,i
1064,3895047300.00,[BA]
1065,3895058400.00,[AA]
1066,3895069600.00,:
1067,3895083900.00,[87]
1068,3895095100.00,-
1069,3895106200.00,[19]
1070,3895117300.00,[87]
1071,3895128400.00,[9D]
1072,3895139600.00,[9B]
1073,3895150700.00,[E5]
1074,3895165500.00,[8D]
1075,3895178800.00,i
1076,3895192100.00,[BA]
1077,3895203200.00,[AA]
1078,3895214300.00,:
1079,3895228700.00,[87]
1080,3895239700.00,-
1081,3895251000.00,[19]
1082,3895262100.00,[87]
1083,3895273300.00,[9D]
1084,3895284400.00,[95]
1085,3895295500.00,[E5]
1086,3895310100.00,[8D]
1087,3895323500.00,i
1088,3895336800.00,[9A]
1089,3895347900.00,[AA]
1090,3895359000.00,:
1091,3895373400.00,[87]
